Repo,RelativePath,Issue,BacktickCount,ExampleLine
"Civium","admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ Civium Dev Snapshot View"
"Civium-Constitution","meta\deprecated\origins\meta\divergence.md","Odd backtick count","1","# ðŸ”€ Divergence Log  -  Civium Constitution"
"CoArena","docs\advicebombs\cocore-pointer.md","Odd backtick count","1","# Pointer: CoCore shared congruence workflow"
"CoArena","docs\intent\INTENT_CHECKLIST.md","Odd backtick count","1","# CoSuite Intent & Progress Checklist"
"CoCache","advice-bombs\extracted\Desktop_Roundup_20251017_105715\RickPads\RickPad_AltAI_20250825 (1).md","Odd backtick count","11","## RickPad  -  AI-Assistant Revision (2025-08-25)"
"CoCache","advice-bombs\extracted\Desktop_Roundup_20251017_110528\RickPads\RickPad_AltAI_20250825 (1).md","Odd backtick count","11","## RickPad  -  AI-Assistant Revision (2025-08-25)"
"CoCache","docs\advicebombs\cocore-pointer.md","Odd backtick count","1","# Pointer: CoCore shared congruence workflow"
"CoCache","docs\intent\INTENT_CHECKLIST.md","Odd backtick count","1","# CoSuite Intent & Progress Checklist"
"CoCivium","admin\CoCivium_Admin_Workflow_Tips_20250811.md","Odd backtick count","3","<!-- status: stub; target: 150+ words -->"
"CoCivium","admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCiviumâ„¢ Dev Snapshot View"
"CoCivium","docs\BPOE\COSTATUS.md","Odd backtick count","1","# CoStatus BPOE"
"CoCivium","docs\checklists\Diagrams.md","Odd backtick count","1","# Diagrams: canonical JSON â†’ Mermaid/D2"
"CoCivium","docs\diagrams\GALLERY_EXAMPLE.md","Odd backtick count","1","# Diagram gallery (example)"
"CoCivium","docs\insights\CoFace\CoFace_StyleMeta_Practice_v0.1.md","Odd backtick count","1","# CoFace Style Meta â€“ Practice v0.1"
"CoCivium","docs\ops\bpoe\WORKFLOW_LOG.md","Odd backtick count","1","# BPOE Workflow Log"
"CoCivium","legacy\Civium\admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCiviumâ„¢ Dev Snapshot View"
"CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\CoCivium_Admin_Workflow_Tips_20250811.md","Odd backtick count","3","CoCiviumâ„¢ Admin Workflow Tips  -  2025-08-11 (EST 1:07)"
"CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCiviumâ„¢ Dev Snapshot View"
"CoCivium-outreach","admin\CoCivium_Admin_Workflow_Tips_20250811.md","Odd backtick count","3","<!-- status: stub; target: 150+ words -->"
"CoCivium-outreach","admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCivium Dev Snapshot View"
"CoCivium-outreach","legacy\Civium\admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCivium Dev Snapshot View"
"CoCivium-outreach","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\CoCivium_Admin_Workflow_Tips_20250811.md","Odd backtick count","3","CoCivium Admin Workflow Tips  -  2025-08-11 (EST 1:07)"
"CoCivium-outreach","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCivium Dev Snapshot View"
"CoCivium.clean","admin\CoCivium_Admin_Workflow_Tips_20250811.md","Odd backtick count","3","CoCivium Admin Workflow Tips  -  2025-08-11 (EST 1:07)"
"CoCivium.clean","legacy\Civium\admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCivium Dev Snapshot View"
"CoCivium.clean","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\CoCivium_Admin_Workflow_Tips_20250811.md","Odd backtick count","3","CoCivium Admin Workflow Tips  -  2025-08-11 (EST 1:07)"
"CoCivium.clean","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCivium Dev Snapshot View"
"CoCivium.clean","staging\_imported\Civium\admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCivium Dev Snapshot View"
"CoCiviumBackUp","admin\CoCivium_Admin_Workflow_Tips_20250811.md","Odd backtick count","3","CoCivium Admin Workflow Tips  -  2025-08-11 (EST 1:07)"
"CoCiviumBackUp","legacy\Civium\admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCivium Dev Snapshot View"
"CoCiviumBackUp","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\CoCivium_Admin_Workflow_Tips_20250811.md","Odd backtick count","3","CoCivium Admin Workflow Tips  -  2025-08-11 (EST 1:07)"
"CoCiviumBackUp","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCivium Dev Snapshot View"
"CoCiviumBackUp","staging\_imported\Civium\admin\TODO_Spider_Radial_Diagram.md","Odd backtick count","1","# TODO: Spider Radial Diagram â€“ CoCivium Dev Snapshot View"
"CoCiviumBackUp","ISSUEOPS.md","Odd backtick count","1","\# ISSUEOPS  -  Quick Start (PS7)"
"Cognocarta-Consenti","meta\deprecated\origins\meta\divergence.md","Odd backtick count","1","# ðŸ”€ Divergence Log  -  Civium Constitution"
"CoSteward","docs\bpoe\COSTATUS.md","Odd backtick count","1","# CoStatus BPOE"
"CoSteward","docs\intent\session-health\README.md","Odd backtick count","1","# Session health notes (pattern v0.1)"
"CoSteward","docs\ops\terminal\PasteSafe-Transcript-Helpers.md","Odd backtick count","1","# PasteSafe transcript helpers (Dia Cont v0.7)"
"CoSteward","tools\README.CoOps.md","Odd backtick count","1","# CoOps.psm1 (helper aggregator)"
"gh-rz","README.md","Odd backtick count","1","# RepoZipper Cloud (gh-rz)nn[![Download RepoZipper Cloud](https://img.shields.io/badge/Download-RepoZipper%20Cloud-brightgreen)](https://github.com/rickballard/gh-rz/releases/latest)"
"MeritRank","README.md","Odd backtick count","1","[MeritRank details â†’](https://rickballard.github.io/MeritRank/)"
"opename-ops","README.md","Odd backtick count","3","# Opename Ops Playbook (Advice Bomb)"
"rickballard","README.md","Odd backtick count","1","# Rick Ballard Â· CoCivium / CoSuite"
"RickPublic","docs\bpoe\COSTATUS.md","Odd backtick count","1","# CoStatus BPOE"
"RickPublic","docs\OPS_MANUAL.md","Odd backtick count","1","# RickPublic  -  Operations Manual"
